Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
manim,Bandit,CWE-703,38,No
manim,Bandit,CWE-78,18,Yes
manim,Bandit,CWE-502,2,Yes
manim,Bandit,CWE-330,5,No
manim,Bandit,CWE-20,2,Yes
manim,Bandit,CWE-22,1,Yes
manim,Semgrep,CWE-95,2,No
manim,Semgrep,CWE-502,2,Yes
manim,Semgrep,CWE-939,1,No
manim,Semgrep,CWE-78,1,Yes
deeplake,Bandit,CWE-89,1,Yes
deeplake,Bandit,CWE-259,1,No
deeplake,Bandit,CWE-703,36,No
deeplake,Bandit,CWE-22,1,Yes
deeplake,Bandit,CWE-400,2,Yes
deeplake,Bandit,CWE-502,2,Yes
deeplake,Semgrep,CWE-939,1,No
deeplake,Semgrep,CWE-502,2,Yes
bbot,Bandit,CWE-502,10,Yes
bbot,Bandit,CWE-330,56,No
bbot,Bandit,CWE-703,4040,No
bbot,Bandit,CWE-78,36,Yes
bbot,Bandit,CWE-327,12,No
bbot,Bandit,CWE-326,1,No
bbot,Bandit,CWE-20,11,Yes
bbot,Bandit,CWE-259,9,No
bbot,Bandit,CWE-89,2,Yes
bbot,Bandit,CWE-377,35,No
bbot,Bandit,CWE-605,3,No
bbot,Semgrep,CWE-78,1,Yes
bbot,Semgrep,CWE-269,1,Yes
bbot,Semgrep,CWE-798,7,Yes
bbot,Semgrep,CWE-502,10,Yes
bbot,Semgrep,CWE-96,2,No
bbot,Semgrep,CWE-95,1,No
bbot,Semgrep,CWE-326,3,No
bbot,Semgrep,CWE-327,3,No
bbot,Semgrep,CWE-706,2,No
bbot,Semgrep,CWE-89,8,Yes
bbot,Semgrep,CWE-915,1,No
bbot,Semgrep,CWE-1333,3,No
bbot,Semgrep,CWE-79,4,Yes
